Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
АВТОМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2168143C2_20010527,RU2168143C2,Коновалов А.А.,1997.09.29,2001.05.27
Магазинное оружие с ручным перезаряжанием,https://yandex.ru/patents/doc/RU2319098C2_20080310,RU2319098C2,Павлов Сергей Николаевич (RU),2006.04.18,2008.03.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU94685U1_20100527,RU94685U1,Богданов Дмитрий Александрович (RU),2010.01.19,2010.05.27
АВТОМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2390711C2_20100527,RU2390711C2,Борисов Петр Анатольевич (RU),2007.06.05,2010.05.27
Бесшумное стрелковое оружие,https://yandex.ru/patents/doc/RU2297585C2_20070420,RU2297585C2,Сердюков Петр Иванович (RU),2005.06.14,2007.04.20
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2250431C2_20050420,RU2250431C2,Шилов В.А. (RU),2003.03.03,2005.04.20
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2168142C2_20010527,RU2168142C2,Котельников В.И.,1999.01.11,2001.05.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2447388C1_20120410,RU2447388C1,Николаев Геннадий Павлович (RU),2010.11.18,2012.04.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU151022U1_20150320,RU151022U1,Катаев Анатолий Александрович (RU),2014.09.17,2015.03.20
Воздушное оружие,https://yandex.ru/patents/doc/SU27857A1_19320930,SU27857A1,,1931.10.24,1932.09.30
Самозарядное оружие с...,https://yandex.ru/patents/doc/SU1830443A1_19930730,SU1830443A1,,1990.10.23,1993.07.30
СТВОЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2500968C2_20131210,RU2500968C2,Громов Владимир Вячеславович (RU),2012.02.28,2013.12.10
Стрелковое оружие с комплектом инструментов,https://yandex.ru/patents/doc/RU181428U1_20180713,RU181428U1,Анисимов Александр Сергеевич (RU),2017.10.27,2018.07.13
Плечевое стрелковое оружие,https://yandex.ru/patents/doc/RU203258U1_20210329,RU203258U1,Головко Константин Иванович (RU),2020.03.24,2021.03.29
"Автоматическое стрелковое оружие, МАГ-3",https://yandex.ru/patents/doc/RU2525475C2_20140820,RU2525475C2,Симоненко Алексей Иванович (RU),2012.04.27,2014.08.20
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2555075C2_20150710,RU2555075C2,Шамаев Владимир Александрович (RU),2013.10.29,2015.07.10
Огнестрельное оружие с подвижным стволом,https://yandex.ru/patents/doc/RU2518510C1_20140610,RU2518510C1,Богданов Юрий Михайлович (RU),2013.01.10,2014.06.10
Стрелковое оружие - 2,https://yandex.ru/patents/doc/RU2576853C1_20160310,RU2576853C1,Староверов Николай Евгеньевич (RU),2015.01.12,2016.03.10
ОРУЖИЕ СТРЕЛКОВОЕ,https://yandex.ru/patents/doc/RU2103633C1_19980127,RU2103633C1,Бабкин В.И.,1996.08.14,1998.01.27
Автоматическое оружие со свободным...,https://yandex.ru/patents/doc/RU2170901C1_20010720,RU2170901C1,Адов А.Б.,1999.10.26,2001.07.20
ЭЛЕКТРОСТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2244240C1_20050110,RU2244240C1,Хохряков В.П. (RU),2003.11.26,2005.01.10
Кронштейн съемный для крепления прицела или...,https://yandex.ru/patents/doc/RU152962U1_20150627,RU152962U1,Пушкарёв Николай Геннадьевич (RU),2015.02.20,2015.06.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2196289C1_20030110,RU2196289C1,Грязев В.П.,2001.11.21,2003.01.10
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2767343C2_20220317,RU2767343C2,Грязев Василий Петрович (RU),2003.07.14,2022.03.17
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2094729C1_19971027,RU2094729C1,Иванов Игорь Алексеевич,1996.03.20,1997.10.27
Пневматическое компрессионное оружие,https://yandex.ru/patents/doc/SU1828992A1_19930723,SU1828992A1,,1989.07.31,1993.07.23
Магазинное оружие с боеприпасами,https://yandex.ru/patents/doc/RU2289773C1_20061220,RU2289773C1,Аленин Алексей Иванович (RU),2005.05.03,2006.12.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2077012C1_19970410,RU2077012C1,Марданов Нурулла Марданович,1993.10.26,1997.04.10
Огнестрельное оружие и боевой снаряд для...,https://yandex.ru/patents/doc/RU2482421C2_20130520,RU2482421C2,Алиев Тахир Эйваз оглы (RU),2009.03.20,2013.05.20
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2260762C2_20050920,RU2260762C2,Коротков Е.Б. (RU),2003.07.03,2005.09.20
Пневматическое оружие,https://yandex.ru/patents/doc/SU1043476A1_19830923,SU1043476A1,,1982.04.26,1983.09.23
Стрелковое оружие и прицельное...,https://yandex.ru/patents/doc/RU2550094C2_20150510,RU2550094C2,Злобин Владимир Викторович (RU),2013.03.06,2015.05.10
Автоматическое (самозарядное) огнестрельное...,https://yandex.ru/patents/doc/RU2702547C1_20191008,RU2702547C1,Покаляев Василий Михайлович (RU),2018.10.22,2019.10.08
Оружие с барабанным магазином,https://yandex.ru/patents/doc/RU2075027C1_19970310,RU2075027C1,Стерхов В.А.,1994.02.23,1997.03.10
Сигнализатор затраливания мины контактным тралом,https://yandex.ru/patents/doc/RU2509026C1_20140310,RU2509026C1,Мельников Борис Александрович (RU),2012.07.20,2014.03.10
"Сборка стволов (варианты), оружие, способ...",https://yandex.ru/patents/doc/RU2295100C2_20070310,RU2295100C2,БЭМБЭЧ Рамон Джон (AU),2002.06.19,2007.03.10
Фехтовальное оружие,https://yandex.ru/patents/doc/SU1222291A1_19860407,SU1222291A1,,1984.10.18,1986.04.07
Огнестрельное оружие с упрощенной разборкой,https://yandex.ru/patents/doc/RU2470247C2_20121220,RU2470247C2,ЦЕДРОССЕР Ульрих (AT),2008.10.03,2012.12.20
Автоматическое стрелковое оружие с...,https://yandex.ru/patents/doc/RU2458304C1_20120810,RU2458304C1,Громов Владимир Вячеславович (RU),2011.01.20,2012.08.10
Способ работы автоматики оружия с приводом...,https://yandex.ru/patents/doc/RU2241940C1_20041210,RU2241940C1,Бобылев А.М. (RU),2003.07.22,2004.12.10
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU67243U1_20071010,RU67243U1,Торхов Дмитрий Николаевич (RU),2007.04.17,2007.10.10
Пневматическое газобаллонное оружие,https://yandex.ru/patents/doc/RU107336U1_20110810,RU107336U1,Красноперов Павел Витальевич (RU),2011.03.02,2011.08.10
Пневматическое оружие,https://yandex.ru/patents/doc/SU1828993A1_19930723,SU1828993A1,,1989.10.09,1993.07.23
Огнестрельное оружие с устройством для...,https://yandex.ru/patents/doc/RU2477437C1_20130310,RU2477437C1,Громов Владимир Вячеславович (RU),2011.10.07,2013.03.10
"Стрелковое оружие компоновки ""Буллпап""",https://yandex.ru/patents/doc/RU2462679C2_20120927,RU2462679C2,Глухов Александр Владимирович (RU),2011.05.05,2012.09.27
Бесствольное оружие и механизм приведения...,https://yandex.ru/patents/doc/RU77954U1_20081110,RU77954U1,Аленин Алексей Иванович (RU),2007.05.30,2008.11.10
Стрелковое оружие шмальца,https://yandex.ru/patents/doc/RU2009436C1_19940315,RU2009436C1,Шмальц Владимир Иванович,1991.08.05,1994.03.15
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2100738C1_19971227,RU2100738C1,Дерягин А.А.,1995.06.06,1997.12.27
Стрелковое оружие,https://yandex.ru/patents/doc/RU2659724C1_20180703,RU2659724C1,Шамаев Владимир Александрович (RU),2017.08.02,2018.07.03
Оружие самообороны и направляющая для пули,https://yandex.ru/patents/doc/RU44808U1_20050327,RU44808U1,Бидеев Г.А. (RU),2004.06.11,2005.03.27
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU123922U1_20130110,RU123922U1,Гусев Семен Валентинович (RU),2012.08.07,2013.01.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU109283U1_20111010,RU109283U1,Белов Александр Ильич (RU),2011.05.27,2011.10.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2473857C1_20130127,RU2473857C1,Громов Владимир Вячеславович (RU),2011.08.10,2013.01.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU32258U1_20030910,RU32258U1,Елисеев Н.И.,2003.03.31,2003.09.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2045731C1_19951010,RU2045731C1,Грязев В.П.,1992.10.21,1995.10.10
Огнестрельное оружие,https://yandex.ru/patents/doc/RU2711039C1_20200114,RU2711039C1,Семенов Александр Георгиевич (RU),2019.07.26,2020.01.14
Комбинированное двуствольное многозарядное...,https://yandex.ru/patents/doc/RU7486U1_19980816,RU7486U1,Волохов Валерий Анатольевич,1997.07.10,1998.08.16
Двухрукояточное оружие староверова,https://yandex.ru/patents/doc/RU2441190C1_20120127,RU2441190C1,Староверов Николай Евгеньевич (RU),2010.07.09,2012.01.27
Стрелковое оружие шмальца,https://yandex.ru/patents/doc/RU2009437C1_19940315,RU2009437C1,Шмальц Владимир Иванович,1991.08.05,1994.03.15
Автоматическое оружие,https://yandex.ru/patents/doc/RU2623850C1_20170629,RU2623850C1,Громов Владимир Вячеславович (RU),2016.05.04,2017.06.29
Оптический прицел и оружие для него...,https://yandex.ru/patents/doc/RU2561685C2_20150827,RU2561685C2,Староверов Николай Евгеньевич (RU),2014.01.09,2015.08.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2090819C1_19970920,RU2090819C1,Суслов В.И.,1995.12.05,1997.09.20
Стрелковое оружие со сбалансированной...,https://yandex.ru/patents/doc/RU2254535C1_20050620,RU2254535C1,Котельников В.И. (RU),2003.09.19,2005.06.20
Дистанционное электрошоковое оружие,https://yandex.ru/patents/doc/RU126816U1_20130410,RU126816U1,Жуков Георгий Валентинович (RU),2012.08.24,2013.04.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2077689C1_19970420,RU2077689C1,Котюхов Федор Алексеевич,1995.07.06,1997.04.20
ГАЗОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2140620C1_19991027,RU2140620C1,Алексеев Юрий Сергеевич (UA),1997.09.24,1999.10.27
Стрелковое оружие с автоматической...,https://yandex.ru/patents/doc/RU212311U1_20220715,RU212311U1,Савченков Дмитрий Сергеевич (RU),2021.09.16,2022.07.15
Оружие для фехтования,https://yandex.ru/patents/doc/SU1452532A1_19890123,SU1452532A1,,1987.02.09,1989.01.23
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2298758C1_20070510,RU2298758C1,Аленин Алексей Иванович (RU),2005.09.07,2007.05.10
Скрытое стрелковое оружие,https://yandex.ru/patents/doc/RU2000538C1_19930907,RU2000538C1,Грязев Василий Петрович,1991.12.20,1993.09.07
"Автоматическое стрелковое оружие,...",https://yandex.ru/patents/doc/RU2523784C1_20140720,RU2523784C1,Симоненко Алексей Иванович (RU),2012.01.16,2014.07.20
Пружина вакуум - блочное метательное оружие,https://yandex.ru/patents/doc/RU2329452C2_20080720,RU2329452C2,Пыленок Игорь Павлович (RU),2006.07.17,2008.07.20
ДУЛЬНОЗАРЯДНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU67694U1_20071027,RU67694U1,Бандаевский Александр Григорьевич (RU),2007.05.21,2007.10.27
Ручное огнестрельное оружие,https://yandex.ru/patents/doc/RU2506520C2_20140210,RU2506520C2,Калинин Сергей Алексеевич (RU),2010.05.11,2014.02.10
Устройство для крепления прицела на стрелковое...,https://yandex.ru/patents/doc/RU2673353C1_20181126,RU2673353C1,Перевалов Владимир Михайлович (RU),2017.08.04,2018.11.26
Стрелковое оружие,https://yandex.ru/patents/doc/RU2788642C1_20230124,RU2788642C1,Чирков Денис Викторович (RU),2022.03.09,2023.01.24
Автоматическое оружие с неподвижным...,https://yandex.ru/patents/doc/SU35121A1_19340228,SU35121A1,,1928.04.11,1934.02.28
Рукоятка для удержания оружия и...,https://yandex.ru/patents/doc/RU2720851C1_20200513,RU2720851C1,"ГРЁНЬЕ, Жордан (FR)",2018.04.17,2020.05.13
Магазин для последовательной подачи патронов в...,https://yandex.ru/patents/doc/SU1662358A3_19910707,SU1662358A3,ЛЕРОЙ ДЖЕЙМС САЛЛИВАН,1987.03.23,1991.07.07
Компактное многозарядное оружие,https://yandex.ru/patents/doc/RU2507463C1_20140220,RU2507463C1,,2012.08.17,2014.02.20
Стрелковое оружие для вертолета,https://yandex.ru/patents/doc/RU2290350C2_20061227,RU2290350C2,Пиранишвили Георгий Константинович (RU),2004.12.15,2006.12.27
Ручное огнестрельное оружие,https://yandex.ru/patents/doc/RU2572942C2_20160120,RU2572942C2,ВАСМЕР Эдельберт (DE),2012.03.30,2016.01.20
